K,R,Expected,Result,Error
2000,200,10000,9519.05,0.0480952
2000,400,10000,9871.6,0.0128395
2000,600,10000,9912.4,0.00876033
2000,800,10000,9576.05,0.0423952
2000,1000,10000,9945.27,0.00547264
2000,1200,10000,10384.4,0.0384416
2000,1400,10000,10030.8,0.00308244
2000,1600,10000,9995,0.0005
2000,1800,10000,9858.08,0.0141918
2000,2000,10000,10173,0.0173028
2000,2200,10000,9602.18,0.0397817
2000,2400,10000,10273.2,0.0273233
2000,2600,10000,10941.9,0.0941895
2000,2800,10000,10213.9,0.0213869
2000,3000,10000,10286.4,0.0286449
2000,3200,10000,9751.22,0.024878
2000,3400,10000,9951.1,0.00489019
2000,3600,10000,10164.4,0.0164407
2000,3800,10000,9968.77,0.00312336
2000,4000,10000,10134.3,0.0134347
2000,4200,10000,10213.9,0.0213869
2000,4400,10000,9949.77,0.00502262
2000,4600,10000,9792.76,0.0207242
2000,4800,10000,9841.23,0.0158769
2000,5000,10000,9827.93,0.0172075
2000,5200,10000,10683.2,0.0683248
2000,5400,10000,9967.31,0.0032687
2000,5600,10000,10158.3,0.0158258
2000,5800,10000,9935.05,0.00649529
2000,6000,10000,10096,0.00959596
2000,6200,10000,10125.7,0.0125654
2000,6400,10000,9706.83,0.0293171
2000,6600,10000,9949.77,0.00502262
2000,6800,10000,9695.58,0.0304422
2000,7000,10000,10066.9,0.00669065
2000,7200,10000,10093.1,0.00931276
2000,7400,10000,9687.36,0.0312639
2000,7600,10000,9726.25,0.0273752
2000,7800,10000,9843.56,0.0156439
2000,8000,10000,10001.3,0.000125078
2000,8200,10000,10143.4,0.0143441
2000,8400,10000,10226.3,0.0226309
2000,8600,10000,9925.75,0.00742494
2000,8800,10000,9827.49,0.0172514
2000,9000,10000,9890.6,0.0109401
2000,9200,10000,9756.39,0.0243607
2000,9400,10000,10279.3,0.0279322
2000,9600,10000,9932.92,0.00670807
2000,9800,10000,10005.2,0.00052094
